state,saledate,productcategoryname,dollarcount,dollarweight,dollartotal
MA,1/25/21,Buds,0,1060869.65,1060869.65
MA,3/4/21,Infused (non-edible),9660.96,0,9660.96
MA,2/27/20,Infused Pre-Rolls,0,18871.79,18871.79
MA,9/13/20,Concentrate,0,24838.23,24838.23
MA,8/13/19,Shake/Trim (by strain),0,5791.35,5791.35
MA,3/13/20,Infused (non-edible),11687.59,0,11687.59
MA,5/13/21,Infused Beverage,29042.5,0,29042.5
MA,7/10/20,Shake/Trim,0,40,40
MA,8/31/20,Buds,0,1047014.23,1047014.23
MA,4/17/21,Suppository,90,0,90
MA,12/15/20,Concentrate,0,39300.84,39300.84
MA,5/22/21,Concentrate (Bulk),0,109.35,109.35
MA,11/10/20,Shake/Trim,0,625.5,625.5
MA,10/19/19,Concentrate,0,17825.93,17825.93
MA,7/30/20,Vape Product,465579.16,0,465579.16
MA,10/29/19,Buds,0,672856.72,672856.72
MA,4/28/19,Concentrate,0,2640.86,2640.86
MA,2/1/19,Buds,26817.07,382302.92,409119.99
MA,4/24/21,Concentrate (Bulk),0,1193.29,1193.29
MA,8/29/19,Kief,0,1515.85,1515.85
MA,2/6/19,Concentrate,400,1992,2392
MA,9/6/20,Concentrate (Each),189825.6,0,189825.6
MA,3/14/19,Infused (non-edible),5311.11,0,5311.11
MA,3/16/19,Infused (non-edible),9680.73,0,9680.73
MA,11/24/19,Kief,0,2236.31,2236.31
MA,12/20/20,Raw Pre-Rolls,0,292565.23,292565.23
MA,12/3/20,Shake/Trim,0,825,825
MA,6/1/19,Concentrate (Each),436437.76,300,436737.76
MA,7/16/19,Raw Pre-Rolls,12.6,31826.35,31838.95
MA,11/26/20,Concentrate,0,794,794
MA,3/29/21,Concentrate,0,23875.81,23875.81
MA,10/17/19,Kief,0,2783.84,2783.84
MA,4/1/21,Infused Pre-Rolls,0,13623.36,13623.36
MA,1/11/20,Infused Pre-Rolls,0,17269.46,17269.46
MA,7/25/19,Kief,0,540,540
MA,9/17/20,Shake/Trim (by strain),0,9660,9660
MA,1/28/20,Concentrate (Each),135330.22,0,135330.22
MA,1/6/20,Buds,0,625891.8,625891.8
MA,5/9/21,Raw Pre-Rolls,0,379627.25,379627.25
MA,11/27/19,Shake/Trim (by strain),0,21043.2,21043.2
MA,3/9/21,Concentrate (Each),174361.87,0,174361.87
MA,3/28/21,Concentrate (Each),246259.06,0,246259.06
MA,4/8/19,Infused (edible),112628.41,0,112628.41
MA,6/17/19,Shake/Trim (by strain),0,6843.43,6843.43
MA,1/4/19,Infused (non-edible),24234.84,0,24234.84
MA,4/26/19,Shake/Trim (by strain),0,620.58,620.58
MA,3/6/19,Shake/Trim (by strain),0,4713.6,4713.6
MA,1/9/19,Shake/Trim (by strain),0,7341.61,7341.61
MA,10/23/20,Infused (edible),498554.66,0,498554.66
MA,5/12/21,Infused (edible),398720.6,0,398720.6
MA,2/4/21,Concentrate,0,40516.93,40516.93
MA,3/10/21,Infused (edible),361765.04,0,361765.04
MA,8/21/20,Shake/Trim,0,200,200
MA,11/14/19,Buds,0,850806.17,850806.17
MA,5/23/21,Concentrate (Each),204312.71,0,204312.71
MA,3/5/21,Concentrate (Each),246691.38,0,246691.38
MA,9/8/20,Infused (edible),270958.15,0,270958.15
MA,11/30/19,Infused Pre-Rolls,0,9186.96,9186.96
MA,12/16/19,Infused (edible),273290.72,0,273290.72
MA,5/13/21,Infused (edible),460397.33,0,460397.33
MA,12/1/20,Shake/Trim (by strain),0,14312.08,14312.08
MA,5/21/21,Buds,0,1868146.76,1868146.76
MA,3/4/21,Kief,0,3174.51,3174.51
MA,4/19/19,Shake/Trim,0,2000.09,2000.09
MA,4/17/21,Concentrate (Bulk),0,210,210
MA,1/17/19,Buds,19618.59,254633.33,274251.92
MA,3/5/20,Infused Pre-Rolls,0,426,426
MA,1/3/20,Buds,0,1117566.27,1117566.27
MA,12/15/20,Raw Pre-Rolls,0,320241.18,320241.18
MA,6/2/20,Infused Pre-Rolls,0,7255.86,7255.86
MA,2/7/19,Shake/Trim (by strain),0,4169.58,4169.58
MA,8/23/20,Buds,0,1125963.19,1125963.19
MA,12/12/20,Vape Product,630966.25,0,630966.25
MA,11/1/19,Raw Pre-Rolls,0,166331.93,166331.93
MA,1/1/20,Shake/Trim (by strain),0,13240.43,13240.43
MA,2/21/21,Shake/Trim (by strain),0,18929.75,18929.75
MA,1/27/20,Concentrate,0,10968.79,10968.79
MA,12/29/19,Concentrate (Each),163976.78,0,163976.78
MA,2/11/21,Raw Pre-Rolls,0,347712.48,347712.48
MA,1/5/21,Concentrate,0,44169.27,44169.27
MA,6/26/20,Shake/Trim (by strain),0,10736.85,10736.85
MA,3/9/21,Infused Beverage,11996.65,0,11996.65
MA,10/22/20,Infused Pre-Rolls,0,12655.23,12655.23
MA,6/4/21,Infused Beverage,15991.14,0,15991.14
MA,6/10/20,Infused Pre-Rolls,0,9875.03,9875.03
MA,2/20/20,Buds,0,882982.43,882982.43
MA,5/12/21,Buds,0,1435772.46,1435772.46
MA,3/11/21,Raw Pre-Rolls,0,374861.38,374861.38
MA,4/29/19,Buds,794.36,354276.19,355070.55
MA,3/16/21,Concentrate,0,33974.6,33974.6
MA,9/7/20,Vape Product,378925.27,0,378925.27
MA,8/24/19,Infused (edible),286127.05,0,286127.05
MA,7/26/20,Concentrate,0,23351.5,23351.5
MA,3/24/21,Concentrate (Each),221300.22,0,221300.22
MA,5/25/19,Concentrate (Each),490297.9,300,490597.9
